"","date","guName","no2","o3","co","so2","pm10","pm25"
"1","201505080000","강남구",0.043,0.02,0.4,0.006,44,19
"2","201505082300","강남구",0.046,0.021,0.4,0.008,49,17
"3","201505080200","강남구",0.04,0.014,0.4,0.008,49,28
"4","201505080300","강남구",0.026,0.022,0.3,0.008,41,27
"5","201505080400","강남구",0.021,0.022,0.3,0.007,35,18
"6","201505080500","강남구",0.018,0.025,0.3,0.006,36,25
"7","201505080600","강남구",0.021,0.023,0.3,0.007,45,20
"8","201505080700","강남구",0.037,0.012,0.4,0.006,47,27
"9","201505080800","강남구",0.046,0.006,0.4,0.007,36,17
"10","201505080900","강남구",0.038,0.015,0.4,0.007,58,27
"11","201505081000","강남구",0.029,0.027,0.4,0.006,44,21
"12","201505081100","강남구",0.033,0.031,0.4,0.007,45,21
"13","201505081200","강남구",0.038,0.031,0.4,0.007,48,26
"14","201505081300","강남구",0.031,0.036,0.4,0.007,43,21
"15","201505081400","강남구",0.035,0.034,0.4,0.005,43,18
"16","201505081500","강남구",0.033,0.04,0.4,0.006,46,23
"17","201505081600","강남구",0.032,0.05,0.4,0.006,47,24
"18","201505081700","강남구",0.032,0.058,0.5,0.006,74,39
"19","201505081800","강남구",0.036,0.05,0.6,0.008,80,41
"20","201505081900","강남구",0.034,0.045,0.5,0.008,92,36
"21","201505082000","강남구",0.048,0.031,0.5,0.007,75,36
"22","201505082100","강남구",0.065,0.011,0.5,0.009,85,32
"23","201505082200","강남구",0.051,0.018,0.4,0.01,74,24
"24","201505080100","강남구",0.039,0.019,0.4,0.007,45,22
"25","201505080800","강동구",0.044,0.006,0.5,0.005,38,18
"26","201505080900","강동구",0.035,0.017,0.5,0.006,42,23
"27","201505081000","강동구",0.039,0.019,0.5,0.006,49,22
"28","201505081100","강동구",0.039,0.026,0.5,0.007,49,27
"29","201505081200","강동구",0.041,0.029,0.5,0.007,54,24
"30","201505081300","강동구",0.038,0.034,0.5,0.006,50,23
"31","201505081400","강동구",0.031,0.045,0.4,0.006,46,19
"32","201505081500","강동구",0.029,0.05,0.5,0.006,46,21
"33","201505081600","강동구",0.029,0.052,0.5,0.006,47,24
"34","201505081700","강동구",0.029,0.062,0.5,0.005,54,29
"35","201505081800","강동구",0.033,0.059,0.6,0.005,61,29
"36","201505081900","강동구",0.039,0.049,0.7,0.007,71,29
"37","201505082000","강동구",0.044,0.038,0.6,0.006,81,33
"38","201505082100","강동구",0.056,0.023,0.6,0.006,87,47
"39","201505082200","강동구",0.058,0.016,0.6,0.008,66,40
"40","201505082300","강동구",0.047,0.021,0.5,0.008,47,30
"41","201505080000","강동구",0.056,0.012,0.4,0.005,36,13
"42","201505080100","강동구",0.046,0.019,0.4,0.005,39,17
"43","201505080200","강동구",0.041,0.019,0.5,0.006,44,19
"44","201505080300","강동구",0.045,0.011,0.5,0.006,41,16
"45","201505080400","강동구",0.028,0.021,0.4,0.007,32,14
"46","201505080500","강동구",0.033,0.016,0.4,0.006,34,15
"47","201505080600","강동구",0.046,0.002,0.5,0.005,33,14
